"text","label"
"دوره از نظر محتوا خوب است، اما استاد ارتباط چندانی با شرکت کنندگان ندارد","0"
"دوره از نظر محتوا خیلی خوب بود اما بحث گروهی کمی ضعیف بود","0"
"مدرس بسیار پرانرژی و مشتاق است، اما مطالب کمی پیچیده است","0"
"محتوای دوره بسیار به روز و مطابق با آخرین استانداردهای صنعت بود","1"
"درس خسته کننده بود، اما اطلاعاتی که به شما داده شد مفید بود","0"
"مدرس دوره بسیار مطلع بود اما سرعت تدریس بالا بود","0"
"دوره بسیار مفید و کاربردی بود، تمام نکات کلیدی پوشش داده شد","1"
"مدرس دوره بسیار صبور بود و به تمام سوالات با دقت پاسخ داد","1"
"محتوای دوره کمی قدیمی بود، اما تکنیک های ارائه شده هنوز قابل اجرا هستند","0"
"دوره عالی است، سرگرم کننده است، من از یادگیری لذت می برم","1"
"مدرس دوره بسیار آگاه بود، اما کمی قاطع بود","0"
"دوره از نظر محتوا بسیار خوب است، هر جلسه پر از اطلاعات جدید است","1"
"معلم خیلی خوب است، اما گاهی اوقات از موضوع اصلی منحرف می شود","0"
"دوره بسیار کامل و جامع بود، چیزی از قلم نیفتاد","1"
"مدرس دوره بسیار با تجربه بود، اما روش تدریس او کمی قدیمی بود","0"
"دوره بسیار مفید بود و من توانستم بلافاصله مطالب را در کارم اعمال کنم","1"
"مدرس دوره بسیار آگاه است. اما آموزش خیلی سریع","0"
"دوره بسیار کاربردی و عملی است، تمرینات زیادی برای تقویت مهارت دارد","1"
"استاد درس بسیار مهربان و دلسوز بود، اما گاهی اوقات توضیحاتش کافی نبود","0"
"دوره بسیار متنوع است و تمام جنبه های دوره را در بر می گیرد","1"
"مدرس دوره فوق العاده است، اما گاهی اوقات باید سعی کنید توضیحات او را بفهمید","0"
"معلمان موضوع بسیار مشتاق و آگاه هستند","1"
"محتوای دوره بسیار جامع و به روز بود","1"
"متاسفانه این دوره نیازهای آموزشی من را برآورده نکرد","-1"
"دوره بسیار سریع بود و مطالب به خوبی توضیح داده نشد","-1"
"به نظر می‌رسد این آموزش برای مبتدیان در نظر گرفته شده است نه حرفه‌ای‌ها","-1"
"آموزش بسیار خوب بود و من توانستم بلافاصله آنچه را که یاد گرفتم در کارم به کار ببرم","1"
"معلم خیلی خوب است و می تواند مطالب را به زبان ساده توضیح دهد","1"
"دوره خوبی بود، اما انتظار تمرینات بیشتری را داشتم","0"
"محتوای دوره برای به‌روزرسانی خیلی قدیمی است","-1"
"دوره بسیار کاربردی بود و من توانستم مهارت های جدیدی یاد بگیرم","1"
"دوره به خوبی سازماندهی شده است و مطالب به ترتیب منطقی ارائه شده است","1"
"مدرس دوره خیلی خوب بود اما محتوای دوره کافی نبود","0"
"دوره بسیار سطحی بود و اطلاعات عمیقی ارائه نکرد","-1"
"من از این دوره بسیار راضی هستم و آن را به دیگران توصیه می کنم","1"
"معلم دوره خیلی خشک و بی روح بود و جذاب نبود","-1"
"دوره خوبی بود و خیلی مفاهیم رو خیلی خوب فهمیدم","1"
"محتوای دوره بسیار متنوع و جالب بود","1"
"دوره با ارزشی بود، اما بعضی از موضوعات نیاز به توضیح بیشتری داشت","0"
"مدرس قادر به انتقال اطلاعات به خوبی نیست","-1"
"دوره بسیار مفید بود و من توانستم از محتوای آن در پروژه های شخصی خود استفاده کنم","1"
"دوره خوبی بود، اما توضیح بعضی قسمت ها خیلی گیج کننده بود","0"
"متاسفانه انتظاراتم را برآورده نکرد و چیزهای جدیدی یاد نگرفتم","-1"
"دوره عالی است، من آن را به همه توصیه می کنم","1"
"مدرس دوره بسیار باتجربه بود، اما سبک تدریس او را دوست نداشتم","-1"
"دوره بسیار گسترده بود و من مهارت های جدید زیادی یاد گرفتم","1"
"دوره ارزشمندی بود، اما برخی از ویدیوها کیفیت پایینی داشتند","0"
"معلمان دوره اطلاعات را به خوبی ارائه نکردند و من نتوانستم اطلاعات زیادی کسب کنم","-1"
"این دوره بسیار مفید و مفید است، من می توانم دانش جدیدی کسب کنم","1"
"این دوره خوبی بود، اما برخی از موضوعات نیاز به توضیح بیشتری دارند","0"
"متأسفانه دوره آموزشی محتوا را توضیح نداد و من نتوانستم اطلاعات مفیدی پیدا کنم","-1"
"دوره عالی بود و بسیاری از مفاهیم را به خوبی درک کردم","1"
"مدرس دوره بسیار با تجربه بود، اما سبک تدریس او را دوست نداشتم","-1"
"دوره بسیار جامع بود و من توانستم بسیاری از مهارت های جدید را بیاموزم","1"
"دوره جالب است، اما برخی از ویدیوها کیفیت پایینی دارند","0"
"مربی محتوا را به خوبی ارائه نکرد و اطلاعات زیادی به دست نیاورد","-1"
"دوره بسیار مفید و کاربردی بود و من توانستم مهارت های جدیدی کسب کنم","1"
"دوره عالی بود، مطالب به خوبی توضیح داده شده بود","1"
"با عرض پوزش، این دوره انتظارات من را برآورده نکرد","-1"
"دوره ارائه شده بسیار مفید و کاربردی است.","1"
"مربی قوی و آگاه بود.","1"
"محتوای دوره بسیار جامع و به روز است.","1"
"دوره خوبی بود اما انتظار داشتم نمونه های بیشتری ارائه شود","0"
"با عرض پوزش، این دوره نیازهای آموزشی من را برآورده نمی کند","-1"
"دوره خیلی سریع گذشت و مطالب به خوبی توضیح داده نشد.","-1"
"این دوره مفیدی بود، اما برخی از ویدیوها کیفیت پایینی داشتند.","0"
"به نظر می رسد این دوره برای مبتدیان است نه حرفه ای ها.","-1"
"دوره فوق العاده بود و من توانستم بلافاصله آنچه را که یاد گرفتم در کارم به کار ببرم.","1"
"معلم بسیار آگاه است و می تواند مطالب را به زبان ساده توضیح دهد.","1"
"دوره خوبی بود، اما انتظار تمرینات بیشتری را داشتم","0"
"محتوای دوره بسیار قدیمی و به روز نیست.","-1"
"دوره بسیار کاربردی بود و من توانستم مهارت های جدیدی یاد بگیرم.","1"
"دوره به خوبی سازماندهی شد و مطالب به ترتیب منطقی ارائه شد.","1"
"مدرس دوره خیلی خوب بود اما محتوای دوره کافی نبود","0"
"دوره بسیار سطحی است و بینشی ندارد","-1"
"از حضور در این دوره بسیار خوشحالم و آن را به دیگران توصیه می کنم.","1"
"دوره خیلی طولانی است و در مدت زمان بسیار کوتاهی تکمیل می شود.","0"
"معلم موضوع به روشی خشک، بی روح و غیر جالب تدریس می کند","-1"
"دوره فوق العاده ای بود و من توانستم خیلی از مفاهیم را به خوبی درک کنم.","1"
"محتوای دوره بسیار متنوع و جالب بود.","1"
"مدرس دوره نتوانست اطلاعات را به خوبی منتقل کند.","-1"
"دوره بسیار مفید بود و من توانستم از مطالب در پروژه های خودم استفاده کنم.","1"
"این دوره خوبی است، اما برخی از بخش ها آنقدر پیچیده هستند که نمی توان توضیح داد.","0"
"متاسفانه این دوره انتظارات من را برآورده نکرد و چیز جدیدی یاد نگرفتم.","-1"
"دوره عالی بود و من به همه توصیه می کنم شرکت کنند.","1"
"دوره خوب است، اما برخی از موضوعات به اندازه کافی پوشش داده نشده اند","0"
"مدرس دوره بسیار باتجربه بود اما سبک تدریس او برای من جالب نبود","-1"
"دوره بسیار جامع بود و من توانستم مهارت های جدید زیادی بیاموزم.","1"
"دوره با ارزشی بود، اما برخی از ویدیوها کیفیت پایینی داشتند.","0"
"مدرس دوره نتوانست مطالب را به خوبی ارائه کند و من نتوانستم اطلاعات زیادی کسب کنم.","-1"
"دوره بسیار مفید و کاربردی بود، من موفق به کسب مهارت های جدید شدم.","1"
"دوره خوبی بود، اما بعضی از موضوعات نیاز به توضیح بیشتری داشت.","0"
"متاسفانه مطالب در دوره به خوبی توضیح داده نشد و من نتوانستم اطلاعات مفیدی پیدا کنم.","-1"
"دوره خوب بود و من توانستم ایده های زیادی را درک کنم.","1"
"دوره خوبی بود اما برخی از موضوعات به اندازه کافی پوشش داده نشد.","0"
"مدرس دوره بسیار با تجربه بود، اما سبک تدریس او برای من جذاب نبود.","-1"
"دوره بسیار جامع بود و من مهارت های جدید زیادی یاد گرفتم.","1"
"دوره خوبی است، اما برخی از ویدیوها کیفیت پایینی دارند.","0"
"مدرس دوره مطالب را به خوبی ارائه نکرد و من اطلاعات زیادی کسب نکردم.","-1"
"دوره بسیار مفید و کاربردی بود و من توانستم مهارت های جدیدی کسب کنم.","1"
"دوره ارائه شده بسیار مفید و کاربردی بود.","1"
"محتوای ارائه شده در دوره بسیار قدیمی و منسوخ بود و هیچ کمکی به من نکرد.","-1"
"من از این دوره راضی نیستم، چون اطلاعات ارائه شده کاملاً ابتدایی بود.","-1"
"پشتیبانی دوره بسیار ضعیف بود، سوالات من بی‌پاسخ ماندند.","-1"
"مدرس دوره به سوالات به درستی پاسخ نمی‌داد و اغلب از موضوع منحرف می‌شد.","-1"
"محتوای دوره بروز نبود و بیشتر مطالب قدیمی و تکراری به نظر می‌رسید.","-1"
"هزینه‌ای که برای این دوره پرداخت کردم ارزشش را نداشت، محتوا بسیار سطحی بود.","-1"
"از اینکه وقتم را صرف این دوره کردم پشیمانم، هیچ چیز مفیدی یاد نگرفتم.","-1"
"از شرکت در این دوره راضی هستم، اما نمی‌توانم بگویم که عالی بود","0"
"دوره اطلاعات زیادی داشت، اما بیشتر آنها برای من قابل پیش‌بینی بود","0"
"ارزش زمانی که برای این دوره گذاشتم را داشت، اما انتظار بیشتری داشتم","0"
"این دوره برای کسانی که تازه شروع به یادگیری می‌کنند، مناسب است، اما من چیز زیادی یاد نگرفتم","0"
"دوره به خوبی برگزار شد، اما می‌توانست بهتر هم باشد","0"
"مدرس دوره بسیار مسلط بود، اما روش تدریسش برای من کمی خسته‌کننده بود","0"
"دوره از نظر ساختاری خوب بود، اما محتوای آن برای من جدید نبود","0"
"دوره مقدماتی بود و برای کسانی که تجربه بیشتری دارند، ممکن است کمی ساده باشد","0"
